"trainer/global_step","1e4 EF - _step","1e4 EF - _step__MIN","1e4 EF - _step__MAX","1e4 EF - val-Loss E","1e4 EF - val-Loss E__MIN","1e4 EF - val-Loss E__MAX","1e6 EF - _step","1e6 EF - _step__MIN","1e6 EF - _step__MAX","1e6 EF - val-Loss E","1e6 EF - val-Loss E__MIN","1e6 EF - val-Loss E__MAX","1e3 - _step","1e3 - _step__MIN","1e3 - _step__MAX","1e3 - val-Loss E","1e3 - val-Loss E__MIN","1e3 - val-Loss E__MAX","1e5 EF - _step","1e5 EF - _step__MIN","1e5 EF - _step__MAX","1e5 EF - val-Loss E","1e5 EF - val-Loss E__MIN","1e5 EF - val-Loss E__MAX","1e6 - _step","1e6 - _step__MIN","1e6 - _step__MAX","1e6 - val-Loss E","1e6 - val-Loss E__MIN","1e6 - val-Loss E__MAX","1e4 - _step","1e4 - _step__MIN","1e4 - _step__MAX","1e4 - val-Loss E","1e4 - val-Loss E__MIN","1e4 - val-Loss E__MAX","1e5 - _step","1e5 - _step__MIN","1e5 - _step__MAX","1e5 - val-Loss E","1e5 - val-Loss E__MIN","1e5 - val-Loss E__MAX","4e5 - _step","4e5 - _step__MIN","4e5 - _step__MAX","4e5 - val-Loss E","4e5 - val-Loss E__MIN","4e5 - val-Loss E__MAX","8e5 - _step","8e5 - _step__MIN","8e5 - _step__MAX","8e5 - val-Loss E","8e5 - val-Loss E__MIN","8e5 - val-Loss E__MAX","1.7e6 - _step","1.7e6 - _step__MIN","1.7e6 - _step__MAX","1.7e6 - val-Loss E","1.7e6 - val-Loss E__MIN","1.7e6 - val-Loss E__MAX","8e4 - _step","8e4 - _step__MIN","8e4 - _step__MAX","8e4 - val-Loss E","8e4 - val-Loss E__MIN","8e4 - val-Loss E__MAX","6e4 - _step","6e4 - _step__MIN","6e4 - _step__MAX","6e4 - val-Loss E","6e4 - val-Loss E__MIN","6e4 - val-Loss E__MAX","4e4 - _step","4e4 - _step__MIN","4e4 - _step__MAX","4e4 - val-Loss E","4e4 - val-Loss E__MIN","4e4 - val-Loss E__MAX"
"39599","79464","79464","79464","0.19488584995269775","0.19488584995269775","0.19488584995269775","79235","79235","79235","0.07061216980218887","0.07061216980218887","0.07061216980218887","81850","81850","81850","0.539486825466156","0.539486825466156","0.539486825466156","79236","79236","79236","0.07694455236196518","0.07694455236196518","0.07694455236196518","79235","79235","79235","0.06821132451295853","0.06821132451295853","0.06821132451295853","79464","79464","79464","0.1383073329925537","0.1383073329925537","0.1383073329925537","79236","79236","79236","0.0762910321354866","0.0762910321354866","0.0762910321354866","79235","79235","79235","0.05520185828208923","0.05520185828208923","0.05520185828208923","79235","79235","79235","0.05920253321528435","0.05920253321528435","0.05920253321528435","79235","79235","79235","0.05772702768445015","0.05772702768445015","0.05772702768445015","79242","79242","79242","0.07384493201971054","0.07384493201971054","0.07384493201971054","79253","79253","79253","0.06607029587030411","0.06607029587030411","0.06607029587030411","79274","79274","79274","0.08283203840255737","0.08283203840255737","0.08283203840255737"
"43199","86688","86688","86688","0.20235271751880646","0.20235271751880646","0.20235271751880646","86438","86438","86438","0.06269658356904984","0.06269658356904984","0.06269658356904984","89291","89291","89291","0.5437233448028564","0.5437233448028564","0.5437233448028564","86439","86439","86439","0.08125628530979156","0.08125628530979156","0.08125628530979156","86438","86438","86438","0.06399290263652802","0.06399290263652802","0.06399290263652802","86688","86688","86688","0.13085375726222992","0.13085375726222992","0.13085375726222992","86439","86439","86439","0.06944257766008377","0.06944257766008377","0.06944257766008377","86438","86438","86438","0.06875200569629669","0.06875200569629669","0.06875200569629669","86438","86438","86438","0.1063128113746643","0.1063128113746643","0.1063128113746643","86438","86438","86438","0.062444813549518585","0.062444813549518585","0.062444813549518585","86446","86446","86446","0.06380552053451538","0.06380552053451538","0.06380552053451538","86458","86458","86458","0.08895693719387054","0.08895693719387054","0.08895693719387054","86481","86481","86481","0.07930916547775269","0.07930916547775269","0.07930916547775269"
"46799","93912","93912","93912","0.1965087205171585","0.1965087205171585","0.1965087205171585","93642","93642","93642","0.07913763076066971","0.07913763076066971","0.07913763076066971","96732","96732","96732","0.5471331477165222","0.5471331477165222","0.5471331477165222","93642","93642","93642","0.07529716938734055","0.07529716938734055","0.07529716938734055","93642","93642","93642","0.06444992870092392","0.06444992870092392","0.06444992870092392","93912","93912","93912","0.14777331054210663","0.14777331054210663","0.14777331054210663","93642","93642","93642","0.07694347947835922","0.07694347947835922","0.07694347947835922","93642","93642","93642","0.06517375260591507","0.06517375260591507","0.06517375260591507","93642","93642","93642","0.0665639117360115","0.0665639117360115","0.0665639117360115","93642","93642","93642","0.06025616452097893","0.06025616452097893","0.06025616452097893","93650","93650","93650","0.06635802984237671","0.06635802984237671","0.06635802984237671","93662","93662","93662","0.09112156927585602","0.09112156927585602","0.09112156927585602","93687","93687","93687","0.08989768475294113","0.08989768475294113","0.08989768475294113"
"50399","101137","101137","101137","0.19809561967849731","0.19809561967849731","0.19809561967849731","100845","100845","100845","0.06451505422592163","0.06451505422592163","0.06451505422592163","104173","104173","104173","0.5474072694778442","0.5474072694778442","0.5474072694778442","100846","100846","100846","0.07513772696256638","0.07513772696256638","0.07513772696256638","100845","100845","100845","0.06462428718805313","0.06462428718805313","0.06462428718805313","101137","101137","101137","0.13461269438266754","0.13461269438266754","0.13461269438266754","100846","100846","100846","0.06219910457730293","0.06219910457730293","0.06219910457730293","100845","100845","100845","0.05712585896253586","0.05712585896253586","0.05712585896253586","100845","100845","100845","0.05746246501803398","0.05746246501803398","0.05746246501803398","100845","100845","100845","0.055860474705696106","0.055860474705696106","0.055860474705696106","100854","100854","100854","0.08787498623132706","0.08787498623132706","0.08787498623132706","100867","100867","100867","0.07070917636156082","0.07070917636156082","0.07070917636156082","100894","100894","100894","0.07795970141887665","0.07795970141887665","0.07795970141887665"
"53999","108361","108361","108361","0.19554387032985687","0.19554387032985687","0.19554387032985687","108048","108048","108048","0.06674294918775558","0.06674294918775558","0.06674294918775558","111614","111614","111614","0.5483388900756836","0.5483388900756836","0.5483388900756836","108049","108049","108049","0.08048012852668762","0.08048012852668762","0.08048012852668762","108048","108048","108048","0.050952546298503876","0.050952546298503876","0.050952546298503876","108361","108361","108361","0.13203062117099762","0.13203062117099762","0.13203062117099762","108049","108049","108049","0.06487605720758438","0.06487605720758438","0.06487605720758438","108048","108048","108048","0.0564538836479187","0.0564538836479187","0.0564538836479187","108048","108048","108048","0.0544196292757988","0.0544196292757988","0.0544196292757988","108048","108048","108048","0.05221552029252052","0.05221552029252052","0.05221552029252052","108058","108058","108058","0.07456693053245544","0.07456693053245544","0.07456693053245544","108072","108072","108072","0.06357027590274811","0.06357027590274811","0.06357027590274811","108101","108101","108101","0.07557861506938934","0.07557861506938934","0.07557861506938934"
"57599","115585","115585","115585","0.19131019711494446","0.19131019711494446","0.19131019711494446","115251","115251","115251","0.06668965518474579","0.06668965518474579","0.06668965518474579","119055","119055","119055","0.5542295575141907","0.5542295575141907","0.5542295575141907","115252","115252","115252","0.07871202379465103","0.07871202379465103","0.07871202379465103","115251","115251","115251","0.058633044362068176","0.058633044362068176","0.058633044362068176","115585","115585","115585","0.1372583955526352","0.1372583955526352","0.1372583955526352","115252","115252","115252","0.0759090930223465","0.0759090930223465","0.0759090930223465","115251","115251","115251","0.05777505412697792","0.05777505412697792","0.05777505412697792","115251","115251","115251","0.06548146903514862","0.06548146903514862","0.06548146903514862","115251","115251","115251","0.0622597336769104","0.0622597336769104","0.0622597336769104","115262","115262","115262","0.07732907682657242","0.07732907682657242","0.07732907682657242","115277","115277","115277","0.06710779666900635","0.06710779666900635","0.06710779666900635","115308","115308","115308","0.0730651244521141","0.0730651244521141","0.0730651244521141"
"61199","122809","122809","122809","0.19248256087303162","0.19248256087303162","0.19248256087303162","122455","122455","122455","0.0656362846493721","0.0656362846493721","0.0656362846493721","126496","126496","126496","0.5487526059150696","0.5487526059150696","0.5487526059150696","122456","122456","122456","0.07879463583230972","0.07879463583230972","0.07879463583230972","122455","122455","122455","0.07366973161697388","0.07366973161697388","0.07366973161697388","122809","122809","122809","0.13977299630641937","0.13977299630641937","0.13977299630641937","122456","122456","122456","0.056728068739175797","0.056728068739175797","0.056728068739175797","122455","122455","122455","0.0573498010635376","0.0573498010635376","0.0573498010635376","122455","122455","122455","0.05483925715088844","0.05483925715088844","0.05483925715088844","122455","122455","122455","0.06143302097916603","0.06143302097916603","0.06143302097916603","122465","122465","122465","0.06433489918708801","0.06433489918708801","0.06433489918708801","122482","122482","122482","0.07225964963436127","0.07225964963436127","0.07225964963436127","122514","122514","122514","0.07197285443544388","0.07197285443544388","0.07197285443544388"
"64799","130033","130033","130033","0.1975194215774536","0.1975194215774536","0.1975194215774536","129658","129658","129658","0.059436824172735214","0.059436824172735214","0.059436824172735214","133937","133937","133937","0.5542621612548828","0.5542621612548828","0.5542621612548828","129659","129659","129659","0.07775749266147614","0.07775749266147614","0.07775749266147614","129658","129658","129658","0.05220182240009308","0.05220182240009308","0.05220182240009308","130033","130033","130033","0.13483282923698425","0.13483282923698425","0.13483282923698425","129659","129659","129659","0.07293149828910828","0.07293149828910828","0.07293149828910828","129658","129658","129658","0.06034250184893608","0.06034250184893608","0.06034250184893608","129658","129658","129658","0.0717998668551445","0.0717998668551445","0.0717998668551445","129658","129658","129658","0.0855441689491272","0.0855441689491272","0.0855441689491272","129669","129669","129669","0.06398411095142365","0.06398411095142365","0.06398411095142365","129687","129687","129687","0.0803714469075203","0.0803714469075203","0.0803714469075203","129721","129721","129721","0.07519614696502686","0.07519614696502686","0.07519614696502686"
"68399","137257","137257","137257","0.19317835569381714","0.19317835569381714","0.19317835569381714","136861","136861","136861","0.05665136128664017","0.05665136128664017","0.05665136128664017","141378","141378","141378","0.5471818447113037","0.5471818447113037","0.5471818447113037","136862","136862","136862","0.07097860425710678","0.07097860425710678","0.07097860425710678","136861","136861","136861","0.05289487913250923","0.05289487913250923","0.05289487913250923","137257","137257","137257","0.1478556990623474","0.1478556990623474","0.1478556990623474","136862","136862","136862","0.06578348577022552","0.06578348577022552","0.06578348577022552","136861","136861","136861","0.056370142847299576","0.056370142847299576","0.056370142847299576","136861","136861","136861","0.05030020698904991","0.05030020698904991","0.05030020698904991","136861","136861","136861","0.058408964425325394","0.058408964425325394","0.058408964425325394","136873","136873","136873","0.06268209218978882","0.06268209218978882","0.06268209218978882","136891","136891","136891","0.07698888331651688","0.07698888331651688","0.07698888331651688","136928","136928","136928","0.07823268324136734","0.07823268324136734","0.07823268324136734"
"71999","144481","144481","144481","0.20179075002670288","0.20179075002670288","0.20179075002670288","144064","144064","144064","0.05842655897140503","0.05842655897140503","0.05842655897140503","148819","148819","148819","0.5491600036621094","0.5491600036621094","0.5491600036621094","144066","144066","144066","0.07128581404685974","0.07128581404685974","0.07128581404685974","144064","144064","144064","0.051800768822431564","0.051800768822431564","0.051800768822431564","144481","144481","144481","0.1466202437877655","0.1466202437877655","0.1466202437877655","144066","144066","144066","0.06917843967676163","0.06917843967676163","0.06917843967676163","144064","144064","144064","0.06600012630224228","0.06600012630224228","0.06600012630224228","144064","144064","144064","0.06313210725784302","0.06313210725784302","0.06313210725784302","144064","144064","144064","0.06229964643716812","0.06229964643716812","0.06229964643716812","144077","144077","144077","0.0669797956943512","0.0669797956943512","0.0669797956943512","144096","144096","144096","0.0781206414103508","0.0781206414103508","0.0781206414103508","144135","144135","144135","0.0724007710814476","0.0724007710814476","0.0724007710814476"
