"trainer/global_step","1e4 EF - _step","1e4 EF - _step__MIN","1e4 EF - _step__MAX","1e4 EF - val-Loss F","1e4 EF - val-Loss F__MIN","1e4 EF - val-Loss F__MAX","1e6 EF - _step","1e6 EF - _step__MIN","1e6 EF - _step__MAX","1e6 EF - val-Loss F","1e6 EF - val-Loss F__MIN","1e6 EF - val-Loss F__MAX","1e3 - _step","1e3 - _step__MIN","1e3 - _step__MAX","1e3 - val-Loss F","1e3 - val-Loss F__MIN","1e3 - val-Loss F__MAX","1e5 EF - _step","1e5 EF - _step__MIN","1e5 EF - _step__MAX","1e5 EF - val-Loss F","1e5 EF - val-Loss F__MIN","1e5 EF - val-Loss F__MAX","1e6 - _step","1e6 - _step__MIN","1e6 - _step__MAX","1e6 - val-Loss F","1e6 - val-Loss F__MIN","1e6 - val-Loss F__MAX","1e4 - _step","1e4 - _step__MIN","1e4 - _step__MAX","1e4 - val-Loss F","1e4 - val-Loss F__MIN","1e4 - val-Loss F__MAX","1e5 - _step","1e5 - _step__MIN","1e5 - _step__MAX","1e5 - val-Loss F","1e5 - val-Loss F__MIN","1e5 - val-Loss F__MAX","4e5 - _step","4e5 - _step__MIN","4e5 - _step__MAX","4e5 - val-Loss F","4e5 - val-Loss F__MIN","4e5 - val-Loss F__MAX","8e5 - _step","8e5 - _step__MIN","8e5 - _step__MAX","8e5 - val-Loss F","8e5 - val-Loss F__MIN","8e5 - val-Loss F__MAX","1.7e6 - _step","1.7e6 - _step__MIN","1.7e6 - _step__MAX","1.7e6 - val-Loss F","1.7e6 - val-Loss F__MIN","1.7e6 - val-Loss F__MAX","8e4 - _step","8e4 - _step__MIN","8e4 - _step__MAX","8e4 - val-Loss F","8e4 - val-Loss F__MIN","8e4 - val-Loss F__MAX","6e4 - _step","6e4 - _step__MIN","6e4 - _step__MAX","6e4 - val-Loss F","6e4 - val-Loss F__MIN","6e4 - val-Loss F__MAX","4e4 - _step","4e4 - _step__MIN","4e4 - _step__MAX","4e4 - val-Loss F","4e4 - val-Loss F__MIN","4e4 - val-Loss F__MAX"
"39599","79464","79464","79464","0.05541962757706642","0.05541962757706642","0.05541962757706642","79235","79235","79235","0.019886376336216927","0.019886376336216927","0.019886376336216927","81850","81850","81850","0.10385710000991821","0.10385710000991821","0.10385710000991821","79236","79236","79236","0.023724012076854706","0.023724012076854706","0.023724012076854706","79235","79235","79235","0.017602447420358658","0.017602447420358658","0.017602447420358658","79464","79464","79464","0.04316141456365585","0.04316141456365585","0.04316141456365585","79236","79236","79236","0.020044786855578423","0.020044786855578423","0.020044786855578423","79235","79235","79235","0.017441678792238235","0.017441678792238235","0.017441678792238235","79235","79235","79235","0.018543168902397156","0.018543168902397156","0.018543168902397156","79235","79235","79235","0.017255611717700958","0.017255611717700958","0.017255611717700958","79242","79242","79242","0.020550843328237534","0.020550843328237534","0.020550843328237534","79253","79253","79253","0.021638033911585808","0.021638033911585808","0.021638033911585808","79274","79274","79274","0.025428829714655876","0.025428829714655876","0.025428829714655876"
"43199","86688","86688","86688","0.0553307868540287","0.0553307868540287","0.0553307868540287","86438","86438","86438","0.019329844042658806","0.019329844042658806","0.019329844042658806","89291","89291","89291","0.10383102297782898","0.10383102297782898","0.10383102297782898","86439","86439","86439","0.02369297482073307","0.02369297482073307","0.02369297482073307","86438","86438","86438","0.017012331634759903","0.017012331634759903","0.017012331634759903","86688","86688","86688","0.04323907569050789","0.04323907569050789","0.04323907569050789","86439","86439","86439","0.020012199878692627","0.020012199878692627","0.020012199878692627","86438","86438","86438","0.016976360231637955","0.016976360231637955","0.016976360231637955","86438","86438","86438","0.017741233110427856","0.017741233110427856","0.017741233110427856","86438","86438","86438","0.016635572537779808","0.016635572537779808","0.016635572537779808","86446","86446","86446","0.0202383603900671","0.0202383603900671","0.0202383603900671","86458","86458","86458","0.022368337959051132","0.022368337959051132","0.022368337959051132","86481","86481","86481","0.024479441344738007","0.024479441344738007","0.024479441344738007"
"46799","93912","93912","93912","0.0554669015109539","0.0554669015109539","0.0554669015109539","93642","93642","93642","0.019018692895770073","0.019018692895770073","0.019018692895770073","96732","96732","96732","0.10394860059022903","0.10394860059022903","0.10394860059022903","93642","93642","93642","0.02335093542933464","0.02335093542933464","0.02335093542933464","93642","93642","93642","0.017254356294870377","0.017254356294870377","0.017254356294870377","93912","93912","93912","0.043342527002096176","0.043342527002096176","0.043342527002096176","93642","93642","93642","0.020013170316815376","0.020013170316815376","0.020013170316815376","93642","93642","93642","0.017454033717513084","0.017454033717513084","0.017454033717513084","93642","93642","93642","0.017892539501190186","0.017892539501190186","0.017892539501190186","93642","93642","93642","0.016475116834044456","0.016475116834044456","0.016475116834044456","93650","93650","93650","0.019852032884955406","0.019852032884955406","0.019852032884955406","93662","93662","93662","0.02264399267733097","0.02264399267733097","0.02264399267733097","93687","93687","93687","0.02448885701596737","0.02448885701596737","0.02448885701596737"
"50399","101137","101137","101137","0.055442407727241516","0.055442407727241516","0.055442407727241516","100845","100845","100845","0.018853800371289253","0.018853800371289253","0.018853800371289253","104173","104173","104173","0.10407473146915436","0.10407473146915436","0.10407473146915436","100846","100846","100846","0.022888407111167908","0.022888407111167908","0.022888407111167908","100845","100845","100845","0.01653311401605606","0.01653311401605606","0.01653311401605606","101137","101137","101137","0.04302902892231941","0.04302902892231941","0.04302902892231941","100846","100846","100846","0.019169751554727554","0.019169751554727554","0.019169751554727554","100845","100845","100845","0.016988150775432587","0.016988150775432587","0.016988150775432587","100845","100845","100845","0.01773250102996826","0.01773250102996826","0.01773250102996826","100845","100845","100845","0.016751142218708992","0.016751142218708992","0.016751142218708992","100854","100854","100854","0.020259257405996323","0.020259257405996323","0.020259257405996323","100867","100867","100867","0.021924249827861786","0.021924249827861786","0.021924249827861786","100894","100894","100894","0.024281421676278114","0.024281421676278114","0.024281421676278114"
"53999","108361","108361","108361","0.05529297515749931","0.05529297515749931","0.05529297515749931","108048","108048","108048","0.019105566665530205","0.019105566665530205","0.019105566665530205","111614","111614","111614","0.10389961302280426","0.10389961302280426","0.10389961302280426","108049","108049","108049","0.022954916581511497","0.022954916581511497","0.022954916581511497","108048","108048","108048","0.016087688505649567","0.016087688505649567","0.016087688505649567","108361","108361","108361","0.04355273395776749","0.04355273395776749","0.04355273395776749","108049","108049","108049","0.019357606768608093","0.019357606768608093","0.019357606768608093","108048","108048","108048","0.016243718564510345","0.016243718564510345","0.016243718564510345","108048","108048","108048","0.01609208434820175","0.01609208434820175","0.01609208434820175","108048","108048","108048","0.016118252649903297","0.016118252649903297","0.016118252649903297","108058","108058","108058","0.019844111055135727","0.019844111055135727","0.019844111055135727","108072","108072","108072","0.020927727222442627","0.020927727222442627","0.020927727222442627","108101","108101","108101","0.02390223927795887","0.02390223927795887","0.02390223927795887"
"57599","115585","115585","115585","0.05518567934632301","0.05518567934632301","0.05518567934632301","115251","115251","115251","0.018221309408545494","0.018221309408545494","0.018221309408545494","119055","119055","119055","0.10398302227258682","0.10398302227258682","0.10398302227258682","115252","115252","115252","0.022611962631344795","0.022611962631344795","0.022611962631344795","115251","115251","115251","0.01666722632944584","0.01666722632944584","0.01666722632944584","115585","115585","115585","0.0431390181183815","0.0431390181183815","0.0431390181183815","115252","115252","115252","0.018269294872879982","0.018269294872879982","0.018269294872879982","115251","115251","115251","0.016743678599596024","0.016743678599596024","0.016743678599596024","115251","115251","115251","0.01615775376558304","0.01615775376558304","0.01615775376558304","115251","115251","115251","0.015600359998643398","0.015600359998643398","0.015600359998643398","115262","115262","115262","0.020133934915065765","0.020133934915065765","0.020133934915065765","115277","115277","115277","0.020811928436160088","0.020811928436160088","0.020811928436160088","115308","115308","115308","0.02389313094317913","0.02389313094317913","0.02389313094317913"
"61199","122809","122809","122809","0.05503415688872337","0.05503415688872337","0.05503415688872337","122455","122455","122455","0.018286069855093956","0.018286069855093956","0.018286069855093956","126496","126496","126496","0.10393577069044113","0.10393577069044113","0.10393577069044113","122456","122456","122456","0.02227517031133175","0.02227517031133175","0.02227517031133175","122455","122455","122455","0.015901628881692886","0.015901628881692886","0.015901628881692886","122809","122809","122809","0.04294608533382416","0.04294608533382416","0.04294608533382416","122456","122456","122456","0.01803269423544407","0.01803269423544407","0.01803269423544407","122455","122455","122455","0.016054436564445496","0.016054436564445496","0.016054436564445496","122455","122455","122455","0.01637527346611023","0.01637527346611023","0.01637527346611023","122455","122455","122455","0.016896788030862808","0.016896788030862808","0.016896788030862808","122465","122465","122465","0.019112350419163704","0.019112350419163704","0.019112350419163704","122482","122482","122482","0.021268043667078018","0.021268043667078018","0.021268043667078018","122514","122514","122514","0.023983458057045937","0.023983458057045937","0.023983458057045937"
"64799","130033","130033","130033","0.05515328422188759","0.05515328422188759","0.05515328422188759","129658","129658","129658","0.01764274388551712","0.01764274388551712","0.01764274388551712","133937","133937","133937","0.10399793088436127","0.10399793088436127","0.10399793088436127","129659","129659","129659","0.022707335650920868","0.022707335650920868","0.022707335650920868","129658","129658","129658","0.01532219722867012","0.01532219722867012","0.01532219722867012","130033","130033","130033","0.043659549206495285","0.043659549206495285","0.043659549206495285","129659","129659","129659","0.019237343221902847","0.019237343221902847","0.019237343221902847","129658","129658","129658","0.016782375052571297","0.016782375052571297","0.016782375052571297","129658","129658","129658","0.015621820464730263","0.015621820464730263","0.015621820464730263","129658","129658","129658","0.015693554654717445","0.015693554654717445","0.015693554654717445","129669","129669","129669","0.019244758412241936","0.019244758412241936","0.019244758412241936","129687","129687","129687","0.020971564576029778","0.020971564576029778","0.020971564576029778","129721","129721","129721","0.024067288264632225","0.024067288264632225","0.024067288264632225"
"68399","137257","137257","137257","0.05511786788702011","0.05511786788702011","0.05511786788702011","136861","136861","136861","0.01747678406536579","0.01747678406536579","0.01747678406536579","141378","141378","141378","0.10382644832134247","0.10382644832134247","0.10382644832134247","136862","136862","136862","0.022190241143107414","0.022190241143107414","0.022190241143107414","136861","136861","136861","0.015441729687154293","0.015441729687154293","0.015441729687154293","137257","137257","137257","0.042943075299263","0.042943075299263","0.042943075299263","136862","136862","136862","0.018214600160717964","0.018214600160717964","0.018214600160717964","136861","136861","136861","0.016311947256326675","0.016311947256326675","0.016311947256326675","136861","136861","136861","0.014685528352856636","0.014685528352856636","0.014685528352856636","136861","136861","136861","0.015060522593557835","0.015060522593557835","0.015060522593557835","136873","136873","136873","0.019825419411063194","0.019825419411063194","0.019825419411063194","136891","136891","136891","0.021091299131512642","0.021091299131512642","0.021091299131512642","136928","136928","136928","0.02419133298099041","0.02419133298099041","0.02419133298099041"
"71999","144481","144481","144481","0.05528852716088295","0.05528852716088295","0.05528852716088295","144064","144064","144064","0.017559681087732315","0.017559681087732315","0.017559681087732315","148819","148819","148819","0.10391836613416672","0.10391836613416672","0.10391836613416672","144066","144066","144066","0.02252272330224514","0.02252272330224514","0.02252272330224514","144064","144064","144064","0.015032202005386353","0.015032202005386353","0.015032202005386353","144481","144481","144481","0.043279800564050674","0.043279800564050674","0.043279800564050674","144066","144066","144066","0.01832912489771843","0.01832912489771843","0.01832912489771843","144064","144064","144064","0.015122003853321075","0.015122003853321075","0.015122003853321075","144064","144064","144064","0.015074052847921848","0.015074052847921848","0.015074052847921848","144064","144064","144064","0.015122687444090843","0.015122687444090843","0.015122687444090843","144077","144077","144077","0.018891911953687668","0.018891911953687668","0.018891911953687668","144096","144096","144096","0.02151750959455967","0.02151750959455967","0.02151750959455967","144135","144135","144135","0.0235593244433403","0.0235593244433403","0.0235593244433403"
"75599","151705","151705","151705","0.055147599428892136","0.055147599428892136","0.055147599428892136","151268","151268","151268","0.017034893855452538","0.017034893855452538","0.017034893855452538","156260","156260","156260","0.10419657081365585","0.10419657081365585","0.10419657081365585","151269","151269","151269","0.022068383172154427","0.022068383172154427","0.022068383172154427","151268","151268","151268","0.015478095971047878","0.015478095971047878","0.015478095971047878","151705","151705","151705","0.0430319607257843","0.0430319607257843","0.0430319607257843","151269","151269","151269","0.01883838139474392","0.01883838139474392","0.01883838139474392","151268","151268","151268","0.01534044649451971","0.01534044649451971","0.01534044649451971","151268","151268","151268","0.014523075893521309","0.014523075893521309","0.014523075893521309","151268","151268","151268","0.014894852414727211","0.014894852414727211","0.014894852414727211","151281","151281","151281","0.018787739798426628","0.018787739798426628","0.018787739798426628","151301","151301","151301","0.020280441269278526","0.020280441269278526","0.020280441269278526","151341","151341","151341","0.023768015205860138","0.023768015205860138","0.023768015205860138"
"79199","158929","158929","158929","0.05519688129425049","0.05519688129425049","0.05519688129425049","158471","158471","158471","0.016708269715309143","0.016708269715309143","0.016708269715309143","163701","163701","163701","0.10398708283901215","0.10398708283901215","0.10398708283901215","158472","158472","158472","0.022172847762703896","0.022172847762703896","0.022172847762703896","158471","158471","158471","0.014533309265971184","0.014533309265971184","0.014533309265971184","158929","158929","158929","0.043338045477867126","0.043338045477867126","0.043338045477867126","158472","158472","158472","0.017852142453193665","0.017852142453193665","0.017852142453193665","158471","158471","158471","0.01509662251919508","0.01509662251919508","0.01509662251919508","158471","158471","158471","0.01454166229814291","0.01454166229814291","0.01454166229814291","158471","158471","158471","0.014470543712377548","0.014470543712377548","0.014470543712377548","158485","158485","158485","0.018679749220609665","0.018679749220609665","0.018679749220609665","158506","158506","158506","0.020526640117168427","0.020526640117168427","0.020526640117168427","158548","158548","158548","0.023655788972973824","0.023655788972973824","0.023655788972973824"
"82799","166153","166153","166153","0.055231716483831406","0.055231716483831406","0.055231716483831406","165674","165674","165674","0.01740475557744503","0.01740475557744503","0.01740475557744503","171142","171142","171142","0.10425490885972977","0.10425490885972977","0.10425490885972977","165676","165676","165676","0.021818047389388084","0.021818047389388084","0.021818047389388084","165674","165674","165674","0.01618276722729206","0.01618276722729206","0.01618276722729206","166153","166153","166153","0.04298980534076691","0.04298980534076691","0.04298980534076691","165676","165676","165676","0.017515309154987335","0.017515309154987335","0.017515309154987335","165674","165674","165674","0.014977122657001019","0.014977122657001019","0.014977122657001019","165674","165674","165674","0.015360518358647823","0.015360518358647823","0.015360518358647823","165674","165674","165674","0.014577479101717472","0.014577479101717472","0.014577479101717472","165689","165689","165689","0.018881473690271378","0.018881473690271378","0.018881473690271378","165711","165711","165711","0.02052997797727585","0.02052997797727585","0.02052997797727585","165755","165755","165755","0.023525580763816833","0.023525580763816833","0.023525580763816833"
"86399","173377","173377","173377","0.055065907537937164","0.055065907537937164","0.055065907537937164","172877","172877","172877","0.016969259828329086","0.016969259828329086","0.016969259828329086","178583","178583","178583","0.10398971289396286","0.10398971289396286","0.10398971289396286","172879","172879","172879","0.02168799564242363","0.02168799564242363","0.02168799564242363","172877","172877","172877","0.014278768561780453","0.014278768561780453","0.014278768561780453","173377","173377","173377","0.0432162843644619","0.0432162843644619","0.0432162843644619","172879","172879","172879","0.017591567710042","0.017591567710042","0.017591567710042","172877","172877","172877","0.014485632069408894","0.014485632069408894","0.014485632069408894","172877","172877","172877","0.014541573822498322","0.014541573822498322","0.014541573822498322","172877","172877","172877","0.014249330386519432","0.014249330386519432","0.014249330386519432","172893","172893","172893","0.018744757398962975","0.018744757398962975","0.018744757398962975","172916","172916","172916","0.020341265946626663","0.020341265946626663","0.020341265946626663","172962","172962","172962","0.023993294686079025","0.023993294686079025","0.023993294686079025"
"89999","180601","180601","180601","0.0550958588719368","0.0550958588719368","0.0550958588719368","180081","180081","180081","0.016465937718749046","0.016465937718749046","0.016465937718749046","186024","186024","186024","0.10408087074756622","0.10408087074756622","0.10408087074756622","180082","180082","180082","0.02188454382121563","0.02188454382121563","0.02188454382121563","180081","180081","180081","0.014021635055541992","0.014021635055541992","0.014021635055541992","180601","180601","180601","0.0428243950009346","0.0428243950009346","0.0428243950009346","180082","180082","180082","0.017429813742637634","0.017429813742637634","0.017429813742637634","180081","180081","180081","0.014335527084767818","0.014335527084767818","0.014335527084767818","180081","180081","180081","0.014234400354325771","0.014234400354325771","0.014234400354325771","180081","180081","180081","0.013905723579227924","0.013905723579227924","0.013905723579227924","180096","180096","180096","0.018637673929333687","0.018637673929333687","0.018637673929333687","180121","180121","180121","0.019808676093816757","0.019808676093816757","0.019808676093816757","180168","180168","180168","0.023351412266492844","0.023351412266492844","0.023351412266492844"
